Entity Type,TAG,Category,Domain,Data Type,PI/PII,regulatory_tags,Generic Type,Included old entity types (for Purple),Is Personalized,Entity type description,Format Description,Format,Is delimiter optional,Masking Format,Detection,Type,FullAndOnlyCover,VerificationRequired,SpecificationRequired,Regular expression,Description,Examples,Context Description,ConvertToLowerCase,Comments,UseFormatForDataGeneration,Description GPT,Prompt Instruction
Health Insurance Policy Number,HIP,medical.identifiers,medical,personID,PII,"[""PII"", ""PHI""]",,,1,,a health insurance policy number,,,,C,,,,,"\bH\d{6,12}\b",Unique ID for health insurance plans. Format: H123456789 (H + 6-12 digits),"H123456789, H9876543210",health insurance policy number,0,,0,,
Hospital Name,HOSP,medical.terms,medical,data,PI,"[""PI""]",,,,,a hospital name,USHospitals,,,FC,D,0,1,0,,Name of medical centers,Mayo Clinic,Hospital or medical center or healthcare facility information or name,1,,1,,
IBAN,IBAN,finance.banking,finance,personID,PII,"[""PII""]",,,,,an international bank account number (IBAN),"[AlbaniaIban,AndorraIban,ArabEmiratesIban,AustriaIban,AzerbaijanIban,BahrainIban,BelarusIban,BelgiumIban,BosniaAndHerzegovinaIban,BrazilIban,BulgariaIban,CostaRicaIban,CroatiaIban,CyprusIban,CzechRepublicIban,DenmarkIban,DominicanRepublicIban,EastTimorIban,EgyptIban,EstoniaIban,FaroeIslandsIban,FinlandIban,FranceIban,GeorgiaIban,GermanIban,GibraltarIban,GreatBritainIban,GreeceIban,GreenlandIban,GuatemalaIban,HungaryIban,IcelandIban,IraqIban,IrelandIban,IsraelIban,ItalyIban,JordanIban,KazakhstanIban,KosovoIban,KuwaitIban,LatviaIban,LebanonIban,LiechtensteinIban,LithuaniaIban,LuxembourgIban,MacedoniaIban,MaltaIban,MauritaniaIban,MauritiusIban,MoldovaIban,MonacoIban,MontenegroIban,NetherlandsIban,NorwayIban,PakistanIban,PalestineIban,PolandIban,PortugalIban,QatarIban,RomaniaIban,SaintLuciaIban,SanMarinoIban,SaoTomeIban,SaudiArabiaIban,SerbiaIban,SeychellesIban,SlovakiaIban,SloveniaIban,SpainIban,SwedenIban,SwitzerlandIban,TunisiaIban,TurkeyIban,UkraineIban,VaticanIban,VirginIslandsIban]",1,,FC,,1,0,0,,,,IBAN,0,,1,,
ICD-10 Diagnosis Code,ICD10,medical.codes,medical,data,PI,"[""PI""]",,,,,a diagnosis code,ICD10Codes,,,FC,D,0,0,,,Standardized medical codes for diseases,E11.9 (Type 2 Diabetes),ICD-10 diagnosis code - medical disease code,0,ICD10Titles removed because it is not relevant to the entity_type ICD10 and values in dictionary are bad.,1,,
IMEI,IMEI,person.device,person,personID,PII,"[""PII""]",,,1,,an international mobile equipment identity (IMEI),IMEI,1,,FC,RE,1,0,0,,,,an international mobile equipment identity (IMEI),,,1,,
Individual Taxpayer Identification Number (ITIN),ITIN,finance.tax,finance,personID,PII,"[""PII""]",,,1,,an individual taxpayer identification number (ITIN),USIndividualTaxIdentificationNumber,1,,FC,RE,1,0,0,,"Always 9 digits, First digit is always 9, Second and third digits (XX) range from 70 to 99 (excluding 89 and 93),Fourth digit is 7 or 8, Hyphen (-) separators are required","912-70-1234, 987-75-4321, 956-88-9999",Individual Taxpayer Identification Number (ITIN),0,,1,,
IP Address,IP,person.device,person,personID,PII,"[""PII""]",,,,,an IP address,"[Ipv4,Ipv6]",,,FC,RE,1,0,0,,,,IP address,0,it was IP format previously,1,,
LAB RESULT VALUE,LAB_RESULT_VALUE,medical.data,medical,data,PI,"[""PI""]",,,,Numeric or qualitative lab result value,a numeric or qualitative lab result value,,,,C,,,,0,,Numeric or qualitative lab result value,165 mg/dL,numeric or qualitative lab result value,0,,0,Numeric or qualitative lab result value,"Tag a numeric or qualitative laboratory test result value, usually with units/percentages (e.g., â€œ165 mg/dLâ€, â€œ0.4%â€, â€œpositiveâ€)."
LAB TEST NAME,LAB_TEST_NAME,medical.terms,medical,data,PI,"[""PI""]",,,,Name of a laboratory test analyte biomarker or lab test category,a name of a laboratory test analyte biomarker or lab test category,,,,C,,0,0,0,,Name of a laboratory test analyte biomarker or lab test category,HbA1c; cardiac enzyme,a name of a laboratory test analyte biomarker or lab test category,0,,0,Name of a laboratory test analyte biomarker or lab test category,"Tag the name of a laboratory test/analyte/biomarker OR a lab test category (e.g., cardiac enzymes, liver enzymes, inflammatory markers). Tag it even if no numeric value is present. Tag the full concept (e.g., â€œcardiac enzymeâ€), not modifiers like â€œelevatedâ€."
LicensePlateNumber,LPN,person.govID,person,personID,PII,"[""PII""]",,,,,a license plate number,USLicensePlates,1,,,,1,0,0,,,,license plate number,0,,1,,
Location,LOC,person.places,person,data,PI,"[""PI""]",,,,,a location,,,,C,,0,0,0,,,,location,1,,0,"Location. Refers only to a specific, identifiable geographic location or a formally named place (e.g., 'New York City', 'Berlin Airport', 'Stanford University', 'Central Park'). Do not tag generic or descriptive locations such as 'a house', 'the local police station', 'the park', 'a hospital', or any place phrase that is not a proper name",
MAC Address,MAC,person.device,person,personID,PII,"[""PII""]",,,,,a MAC address,MacAddress,,,FC,RE,1,0,0,,,,MAC address,0,,1,,
MaritalStatus,MS,person.demographics,person,data,PI,"[""PI""]",,,,,a person's marital status,MaritalStatus,,,FC,D,0,1,0,,,,marital status,1,,1,,
MEASUREMENT NAME,MEASUREMENT_NAME,medical.terms,medical,data,PI,"[""PI""]",,,,Non-lab clinical measurement name (vitals + scores),a non-lab clinical measurement name (vitals + scores),,,,C,,0,0,0,,Non-lab clinical measurement name (vitals + scores),Blood Pressure,a non-lab clinical measurement name (vitals + scores),0,,0,Non-lab clinical measurement name (vitals + scores),"Tag the name of a non-lab clinical measurement, including vitals and derived scores (e.g., BP, HR, Weight, BMI, EF)."
MEASUREMENT VALUE,MEASUREMENT_VALUE,medical.data,medical,data,PI,"[""PI""]",,,,Non-lab clinical measurement value (vitals + scores),a non-lab clinical measurement value (vitals + scores),,,,C,,,,0,,Non-lab clinical measurement value (vitals + scores),142/90 mmHg,non-lab clinical measurement value (vitals + scores),0,,0,Non-lab clinical measurement value (vitals + scores),"Tag the value of a non-lab clinical measurement (e.g., â€œ142/90 mmHgâ€, â€œ68 kgâ€, â€œ25.1â€, â€œ25%â€)."
Medical Department,MEDD,medical.terms,medical,data,PI,"[""PI""]",,,,,a medical department name,,,,C,,,,,,,Cardiology,Medical Department,1,,0,,
Medical Record Number (MRN),MRN,medical.identifiers,medical,personID,PII,"[""PII"", ""PHI""]",,,1,,a medical record number (MRN),,,,C,,,,,"\bMRN-\d{6,12}\b",Unique ID assigned to a patient by a healthcare provider,MRN-12345678,patient  medical record number (MRN),0,,0,,
Medicare/Medicaid Number,MED,medical.identifiers,medical,personID,PII,"[""PII"", ""PHI""]",,,1,,a Medicare/Medicaid number,,,,C,,,,,\b[1-9A-Z]{1}[A-Z]{2}\d{2}[A-Z]{2}\d{2}[A-Z]?\b,"Government healthcare ID. Format: 1AB2CD34E5 (Alphanumeric, 10-11 characters)","1AB2CD34E5, 3XY4GH56J9",Medicare/Medicaid Number - Government healthcare ID,0,Same as NPI? remove?,0,,
MonetaryAmount,MAMOUNT,finance.data,finance,data,PI,"[""PI""]",,,,"Explicit monetary values that represent financial exposure, balances, payments, fees, limits, P&L, losses, or totals. Currency may be numeric or written in words.","explicit monetary values that represent financial exposure, balances, payments, fees, limits, P&L, losses, or totals.",,,,C,,,,0,,"Explicit monetary values that represent financial exposure, balances, payments, fees, limits, P&L, losses, or totals. Currency may be numeric or written in words.","€485,000, $1.5 million, ?18,000, £250.00, Two hundred and fifty pounds, €7 fee, €312k losses","explicit monetary values that represent financial exposure, balances, payments, fees, limits, P&L, losses, or totals.",0,,0,"Explicit monetary values that represent financial exposure, balances, payments, fees, limits, P&L, losses, or totals. Currency may be numeric or written in words.","Tag explicit monetary values that include a currency symbol, currency name/code, or clearly written monetary amount. Do not infer amounts or tag counts or denominations."
National Drug Code,NDC,medical.codes,medical,data,PI,"[""PI""]",,,,,a national drug code,USNationalDrugCode,,,FC,RE,1,0,,,,,national drug code,0,new entity type,1,,
National Provider Identifier (NPI),NPI,medical.identifiers,medical,operationalID,PI,"[""PI""]",,,,,a national provider identifier,NationalProviderIdentifier,1,,FC+CR,RE,1,0,,,10-digit number,1234567890,national provider identifier (NPI),0,,1,,
NationalID,NID,person.govID,person,personID,PII,"[""PII""]",,,1,,a national identifier,"[DanishID, EstoniaID, GreeceID, HungaryID, IndianEPIC, IndianID, IndianPAN, JapanID, MexicanCURP, PortugalID, PortugalNISS, SingaporeanNRIC, SwedenID, BelgianID, BrazilianCPF, BritishNHS, CanadianSIN, ChinaID, CroatianOIB, DutchBSN, EnglishNIN, FrenchINSEE, GermanSocialInsuranceNumber, IrishPPS, IsraelID, JapaneseMyNumberID, LithuanianID, PolishPeselNumber, RomanianCNP, SlovakiaID, SlovenianEMSO, SouthKoreaRRN, SpanishDNI, SwissID]",1,,,,1,0,0,,,,national identifier,0,,1,,
OperationalID,OPID,person.operationalID,person,operationalID,PI,"[""PI""]",,"[Value-Added Tax (VAT) Number, Goods & Services Tax (GST) Number, USTax Return Form Number, Securities Identifier, Investment transaction identifier]",,"any operational ID that is not Person ID, e.g. transaction ID, booking reference, etc., for which we don't have more specific entity type, e.g., financial operational ID, medical operational ID, etc.",an operational identifier,,,,C,,,,,,,,operation identifier or ID,,,0,,
Organization,ORG,person.organization,person,data,PI,"[""PI""]",,,,,an organization name,Organization,,Organization_CaseSensitive,FC,D,0,1,0,,,,organization name,1,,1,,
PassportNumber,PPN,person.govID,person,personID,PII,"[""PII""]",,,1,,a passport number,"[AustraliaPassport,AustriaPassport,BelgiumPassport,BulgariaPassport,CanadaPassport,ChinaPassport,CroatiaPassport,CyprusPassport,CzechRepublicPassport,DenmarkPassport,EstoniaPassport,FinlandPassport,FrancePassport,GermanyPassport,GreecePassport,HungaryPassport,IndiaPassport,IrelandPassport,IsraelPassport,ItalyPassport,JapanPassport,LatviaPassport,LithuaniaPassport,LuxembourgPassport,MaltaPassport,NetherlandsPassport,NorwayPassport,PhilippinesPassport,PolandPassport,PortugalPassport,RomaniaPassport,SingaporePassport,SlovakiaPassport,SloveniaPassport,SouthKoreaPassport,SpainPassport,SwedenPassport,SwitzerlandPassport,TaiwanPassport,TurkeyPassport,UnitedArabEmiratesPassport,UnitedKingdomPassport,UnitedStatesPassport]",1,,FC+CR,RE,1,0,0,,,,Passport number,0,,1,,
Password,PW,person.security,person,data,PI,"[""PI"", ""CREDENTIALS""]",,,,,a password,,,,C,,,,,"\b(?=.*[A-Za-z])(?=.*\d)(?=.*[@$!%*#?&])[A-Za-z\d@$!%*#?&]{8,}\b","Requires at least 8 characters, a letter, a number, and a special character",,Password,0,,0,,
PaymentCardCVV/CVC,CVV,finance.pci,finance,data,PI,"[""PI"", ""PCI""]",,,,,a card validation code,CVV,,,FC+CR,RE,0,1,0,,usually a 3-digit or 4-digit number,,CVV or CVC verification security code from the back of the card,0,,1,,
PaymentCardExpirationDate,PCED,finance.pci,finance,data,PI,"[""PI"", ""PCI""]",,,,,a payment card expiration date,CardExpiration,,,FC+CR,RE,0,1,0,,,,payment card expiration date,0,,1,,
PaymentCardIssuer,PCI,finance.pci,finance,data,PI,"[""PI"", ""PCI""]",,,,,a payment card issuer,CardNetworks,,,FC+CR,D,0,1,0,,"The first 6-8 digits of a card number can identify the issuer (e.g., Visa, MasterCard, Amex, etc.).",,payment card issuer pci,1,,1,,
PaymentCardLastDigits,PCLD,finance.pci,finance,data,PI,"[""PI"", ""PCI""]",,,,payment card last 4-6 digits (with/without XXXX-XXXX-),payment card last digits,,,,C,,,,,,,,payment card last digits,0,,0,,
PaymentCardNumber,PCN,finance.pci,finance,personID,PII,"[""PII"", ""PCI""]",,,1,,a payment card number,CreditCard,1,,FC,RE,1,0,0,,,,payment credit card number,0,"the following formats are used for masking to mask Visa to Visa, etc.,:[AmericanExpressCard, DinersClubCard, DinersClubInternationalCard, DinersClubUSACanadaCard, DiscoverCard, JapanCreditBureauCard, MasterCard, VisaCard]",1,,
PersonID,PID,person.personID,person,personID,PII,"[""PII""]",,Investor ID,1,"any person ID e.g. Customer_ID in Tmobile, that is not supported by more specific entity type, e.g., FINPID, MEDPID, etc. ",a person identifier,,,,C,,,,,,,,person identifier or ID,,,0,,
PersonName,PN,person.govID,person,personID,PII,"[""PII""]",,,1,,a person name,,,USPersonName,"Eh, El+STh",,,,,,,,person first name or last name or both,1,,0,,
PhoneNumber,PHONE,person.contact,person,data,PII,"[""PII""]",,"[HomePhoneNumber, EmployeeWorkplacePhoneNumber]",,any phone number,a phone number,"[NorthAmericaPhone,InternationalPhone]",,,FC+CR,RE,0,0,0,,,,phone number,0,,0,,
PlaceOfBirth,POB,person.places,person,data,PI,"[""PI""]",Location,,,place of birth,a place of birth,,,,C,,,,1,,,,"place of birth (city), was born in",1,,0,,
PlaceOfDeath,POD,person.places,person,data,PI,"[""PI""]",Location,,,place of death,a place of death,,,,C,,,,1,,,,"place of death, laid to rest in, deseased in, passed away in",1,,0,,
PlaceOfEducation,POE,person.places,person,data,PI,"[""PI""]",Location,,,place of education,a place of education,,,,C,,,,,,,,"place of education - college, university, school",1,,0,,
Prescription Number,RX,medical.identifiers,medical,operationalID,PI,"[""PI""]",,,,,a prescription number,USPrescriptionNumber,,,FC,RE,1,0,,"\bRX\d{6,12}\b",Unique ID for prescribed medications,RX123456789,prescription number,0,modified format,1,,
Procedure Name,PROC,medical.terms,medical,data,PI,"[""PI""]",,,,,a medical procedure name,,,,C,,,,,,Name of medical procedures,Appendectomy,medical procedure name,1,,0,,
ProfessionOrJobTitle,PROF,person.employment,person,data,PI,"[""PI""]",,,,,a person's profession,Professions,,Professions,FC or maybe just C,D,0,1,0,,,,profession,1,merged with JobTitle into ProfessionOrJobTItle,1,"Professional. Refers only to a stable, formal profession or job title of a person (e.g., teacher, lawyer, engineer). Do not tag situational or temporary roles such as 'driver', 'passenger', 'suspect', 'victim', 'resident', or any word that describes what the person was doing rather than their profession.",
Religion,REL,person.demographics,person,data,PI,"[""PI""]",,,,,a person's religion,Religions,,Religions,FC,D,0,1,0,,,,religion,1,,1,,
ResidencyAndCitizenship,RAC,person.demographics,person,data,PI,"[""PI""]",,,,,a residency or a citizenship,Nationalities,,Nationalities,FC+CR,D,0,1,0,,,,residency and citizenship,1,,1,,
RiskScore,RSCORE,finance.data,finance,data,PI,"[""PI""]",,,,"Scalar credit or risk assessment values used for profiling or automated decision-making, including probabilities.","a scalar credit or risk assessment values used for profiling or automated decision-making, including probabilities.",,,,C,,,,0,,"Scalar credit or risk assessment values used for profiling or automated decision-making, including probabilities.","credit score 712, PD 3.1%, risk score SR-5, default probability 12%","a scalar credit or risk assessment values used for profiling or automated decision-making, including probabilities.",0,,0,"Scalar credit or risk assessment values used for profiling or automated decision-making, including probabilities.","Tag numeric values that explicitly represent a credit score, risk score, or probability of default. Do not tag qualitative labels or counts."
Routing Numbers,RN,finance.banking,finance,operationalID,PI,"[""PI""]",,,,,a routing number,USRoutingTransitNumber,1,,FC+CR,RE,1,0,0,,,"1234567890, 0045-6789-1234-5678, MORT-9876543210, SLN-1234-567890",routing number,0,,1,,
SexualOrientation,SO,person.demographics,person,data,PI,"[""PI""]",,,,,a person's sexual orientation,SexualOrientation,,,FC,D,0,1,0,,,,"sex, sexual, intersex, transgender",1,,1,,
Short DNA Sequences,DNA,medical.terms,medical,data,PII,"[""PII"", ""PHI""]",,,1,,a short DNA sequence,,,,C,,,,,"\b[ATCG]{5,}\b","DNA sequences consist of the letters A, T, C, and G, representing adenine, thymine, cytosine, and guanine.","ATGCGT, TACGTTACCG",Short DNA Sequences,0,,0,,
SocialMediaHandle,SMH,person.contact,person,data,PII,"[""PII""]",,,1,,a social media handle,SocialMediaHandle,,,FC,RE,0,0,0,,Online Presence & Digital Identity,Twitter/X: @elonmusk; Instagram: @kimkardashian; TikTok: @charlidamelio; ,Social media online Twitter Instagram TikTok,0,,0,,
SocialSecurityNumber,SSN,person.govID,person,personID,PII,"[""PII""]",,,1,,a social security number (SSN),UsaSocialSecurityNumber,1,,FC+CR,RE,1,0,0,,,,Social security number SSN,0,,1,,
SpokenLanguage,SPL,person.demographics,person,data,PI,"[""PI""]",,,,,a person's spoken language,LanguageNames,,,FC,D,0,1,0,,,,spoken language,1,,1,,
SWIFT/BIC Code,SWIFT,finance.banking,finance,operationalID,PI,"[""PI""]",,,,,a SWIFT code,"[BIC,BIC_lc]",1,,FC,RE,1,0,0,\b[A-Z]{4}[A-Z]{2}[A-Z0-9]{2}([A-Z0-9]{3})?\b,8 or 11-character alphanumeric code,"CHASUS33, CITIUS33XXX, HBUKGB4B, DEUTDEFF, BNPAFRPP",SWIFT or BIC Code,0,,1,,
SYMPTOM,SYMPTOM,medical.terms,medical,data,PI,"[""PI""]",,,,Clinical sign symptom or objective finding,a clinical sign symptom or objective finding,,,,C,,0,0,0,,Clinical sign symptom or objective finding,ST segment depression,a clinical sign symptom or objective finding,0,,0,Clinical sign symptom or objective finding,"Tag a complete medical sign/symptom/objective finding. Always tag the full medical concept (noun phrase), not modifiers alone (do not tag â€œmildâ€ by itself)."
